"id","name","description"
"cpv_03332000-7","03332000-7","Laine et poils"
"cpv_03332100-8","03332100-8","Laine de tonte"
"cpv_03332200-9","03332200-9","Poil"
"cpv_03333000-4","03333000-4","Lait de vache frais"
"cpv_03340000-6","03340000-6","Marques auriculaires pour animaux"
"cpv_03341000-3","03341000-3","Marques auriculaires pour bovins"
"cpv_03400000-4","03400000-4","Produits de la sylviculture et de l'exploitation forestière"
"cpv_03410000-7","03410000-7","Bois"
"cpv_03411000-4","03411000-4","Bois de conifères"
"cpv_03412000-1","03412000-1","Bois tropical"
"cpv_03413000-8","03413000-8","Bois de chauffage"
"cpv_03414000-5","03414000-5","Bois brut"
"cpv_03415000-2","03415000-2","Bois tendre"
"cpv_03416000-9","03416000-9","Chutes de bois"
"cpv_03417000-6","03417000-6","Copeaux de bois"
"cpv_03417100-7","03417100-7","Sciure de bois"
"cpv_03418000-3","03418000-3","Grumes"
"cpv_03418100-4","03418100-4","Bois dur"
"cpv_03419000-0","03419000-0","Bois d'œuvre"
"cpv_03419100-1","03419100-1","Produits du bois"
"cpv_03419200-2","03419200-2","Bois de mine"
"cpv_03420000-0","03420000-0","Gommes"
"cpv_03421000-7","03421000-7","Baumes"
"cpv_03422000-4","03422000-4","Laque"
"cpv_03430000-3","03430000-3","Liège"
"cpv_03431000-0","03431000-0","Liège naturel"
"cpv_03432000-7","03432000-7","Vannerie"
"cpv_03432100-8","03432100-8","Sparterie"
"cpv_03440000-6","03440000-6","Produits de la sylviculture"
"cpv_03441000-3","03441000-3","Plantes, graminées, mousses ou lichens d'ornement"
"cpv_03450000-9","03450000-9","Produits de pépinière"
"cpv_03451000-6","03451000-6","Plantes"
"cpv_03451100-7","03451100-7","Plantes à repiquer"
"cpv_03451200-8","03451200-8","Bulbes de fleurs"
"cpv_03451300-9","03451300-9","Arbustes"
"cpv_03452000-3","03452000-3","Arbres"
"cpv_03460000-2","03460000-2","Pâte à papier"
"cpv_03461000-9","03461000-9","Pâte de bois"
"cpv_03461100-0","03461100-0","Pâte de bois chimique"
"cpv_09000000-3","09000000-3","Produits pétroliers, combustibles, électricité et autres sources d'énergie"
"cpv_09100000-0","09100000-0","Combustibles"
"cpv_09110000-3","09110000-3","Combustibles solides"
"cpv_09111000-0","09111000-0","Charbon et combustibles à base de charbon"
"cpv_09111100-1","09111100-1","Charbon"
"cpv_09111200-2","09111200-2","Combustibles dérivés du charbon"
"cpv_09111210-5","09111210-5","Charbon maigre"
"cpv_09111220-8","09111220-8","Briquettes"
"cpv_09111300-3","09111300-3","Combustibles fossiles"
"cpv_09111400-4","09111400-4","Combustibles à base de bois"
"cpv_09112000-7","09112000-7","Lignite et tourbe"
"cpv_09112100-8","09112100-8","Lignite"
"cpv_09112200-9","09112200-9","Tourbe"
"cpv_09113000-4","09113000-4","Coke"
"cpv_09120000-6","09120000-6","Combustibles gazeux"
"cpv_09121000-3","09121000-3","Gaz de houille, gaz de ville ou gaz similaires"
"cpv_09121100-4","09121100-4","Gaz de houille ou gaz similaires"
"cpv_09121200-5","09121200-5","Gaz de ville"
"cpv_09122000-0","09122000-0","Propane et butane"
"cpv_09122100-1","09122100-1","Gaz propane"
"cpv_09122110-4","09122110-4","Propane liquéfié"
"cpv_09122200-2","09122200-2","Gaz butane"
"cpv_09122210-5","09122210-5","Butane liquéfié"
"cpv_09123000-7","09123000-7","Gaz naturel"
"cpv_09130000-9","09130000-9","Pétrole et distillats"
"cpv_09131000-6","09131000-6","Kérosène aviation"
"cpv_09131100-7","09131100-7","Carburéacteurs de type kérosène"
"cpv_09132000-3","09132000-3","Essence"
"cpv_09132100-4","09132100-4","Essence sans plomb"
"cpv_09132200-5","09132200-5","Essence au plomb"
"cpv_09132300-6","09132300-6","Essence à l'éthanol"
"cpv_09133000-0","09133000-0","Gaz de pétrole liquéfié (LPG)"
"cpv_09134000-7","09134000-7","Gasoils"
"cpv_09134100-8","09134100-8","Huile diesel"
"cpv_09134200-9","09134200-9","Carburant diesel"
"cpv_09134210-2","09134210-2","Carburant diesel (02)"
"cpv_09134220-5","09134220-5","Carburant diesel (EN 590)"
"cpv_09134230-8","09134230-8","Biodiesel"
"cpv_09134231-5","09134231-5","Biodiesel (B20)"
"cpv_09134232-2","09134232-2","Biodiesel (B100)"
"cpv_09135000-4","09135000-4","Mazout"
"cpv_09135100-5","09135100-5","Fioul domestique"
"cpv_09135110-8","09135110-8","Huiles combustibles à basse teneur en soufre"
"cpv_09200000-1","09200000-1","Produits pétroliers, charbon et huiles"
"cpv_09210000-4","09210000-4","Préparations lubrifiantes"
"cpv_09211000-1","09211000-1","Huiles lubrifiantes et agents lubrifiants"
"cpv_09211100-2","09211100-2","Huiles pour moteurs"
"cpv_09211200-3","09211200-3","Huiles pour compresseurs"
"cpv_09211300-4","09211300-4","Huiles pour turbines"
"cpv_09211400-5","09211400-5","Huiles pour engrenages"
"cpv_09211500-6","09211500-6","Huiles pour réducteurs"
"cpv_09211600-7","09211600-7","Huiles destinées aux systèmes hydrauliques et à d'autres usages"
"cpv_09211610-0","09211610-0","Liquides à usage hydraulique"
"cpv_09211620-3","09211620-3","Huiles de démoulage"
"cpv_09211630-6","09211630-6","Huiles anticorrosives"
"cpv_09211640-9","09211640-9","Huiles utilisées comme isolants électriques"
"cpv_09211650-2","09211650-2","Liquides de frein"
"cpv_09211700-8","09211700-8","Huiles blanches et paraffines liquides"
"cpv_09211710-1","09211710-1","Huiles blanches"
"cpv_09211720-4","09211720-4","Paraffines liquides"
"cpv_09211800-9","09211800-9","Huiles minérales et préparations dérivées du pétrole"
"cpv_09211810-2","09211810-2","Huiles légères"
"cpv_09211820-5","09211820-5","Huiles minérales"
"cpv_09211900-0","09211900-0","Huiles lubrifiantes pour traction"
"cpv_09220000-7","09220000-7","Vaseline, cires de pétrole et essences spéciales"
"cpv_09221000-4","09221000-4","Vaseline et cire de pétrole"
"cpv_09221100-5","09221100-5","Vaseline"
"cpv_09221200-6","09221200-6","Paraffine"
"cpv_09221300-7","09221300-7","Cire de pétrole"
"cpv_09221400-8","09221400-8","Résidus de pétrole"
"cpv_09222000-1","09222000-1","Essences spéciales"
"cpv_09222100-2","09222100-2","White-spirit"
"cpv_09230000-0","09230000-0","Pétrole (brut)"
"cpv_09240000-3","09240000-3","Huile et produits dérivés du charbon"
"cpv_09241000-0","09241000-0","Schiste bitumineux ou kérobitumeux"
"cpv_09242000-7","09242000-7","Produits dérivés du charbon"
"cpv_09242100-8","09242100-8","Huile lourde de houille"
"cpv_09300000-2","09300000-2","Électricité, chauffage, énergie solaire et nucléaire"
"cpv_09310000-5","09310000-5","Électricité"
"cpv_09320000-8","09320000-8","Vapeur, eau chaude et produits connexes"
"cpv_09321000-5","09321000-5","Eau chaude"
"cpv_09322000-2","09322000-2","Vapeur"
"cpv_09323000-9","09323000-9","Chauffage urbain"
"cpv_09324000-6","09324000-6","Chauffage fourni à grande distance"
"cpv_09330000-1","09330000-1","Énergie solaire"
"cpv_09331000-8","09331000-8","Panneaux solaires"
"cpv_09331100-9","09331100-9","Capteurs solaires pour la production de chaleur"
"cpv_09331200-0","09331200-0","Modules solaires photovoltaïques"
"cpv_09332000-5","09332000-5","Installation solaire"
"cpv_09340000-4","09340000-4","Combustibles nucléaires"
"cpv_09341000-1","09341000-1","Uranium"
"cpv_09342000-8","09342000-8","Plutonium"
"cpv_09343000-5","09343000-5","Matériaux radioactifs"
"cpv_09344000-2","09344000-2","Radio-isotopes"
"cpv_14000000-1","14000000-1","Produits d'exploitation des mines, métaux de base et produits connexes"
"cpv_14200000-3","14200000-3","Sable et argile"
"cpv_14210000-6","14210000-6","Gravier, sable, pierre concassée et agrégats"
"cpv_14211000-3","14211000-3","Sable"
"cpv_14211100-4","14211100-4","Sable naturel"
"cpv_14212000-0","14212000-0","Granulés, gravillons, sable fin, cailloux, gravier, pierraille et pierre concassée, mélanges de pierres, de grave et autres agrégats"
"cpv_14212100-1","14212100-1","Cailloux et gravier"
"cpv_14212110-4","14212110-4","Cailloux"
"cpv_14212120-7","14212120-7","Gravier"
"cpv_14212200-2","14212200-2","Agrégats"
"cpv_14212210-5","14212210-5","Grave"
"cpv_14212300-3","14212300-3","Pierraille et pierre concassée"
"cpv_14212310-6","14212310-6","Ballast"
"cpv_14212320-9","14212320-9","Granit concassé"
"cpv_14212330-2","14212330-2","Basalte concassé"
"cpv_14212400-4","14212400-4","Terre"
"cpv_14212410-7","14212410-7","Terre végétale"
"cpv_14212420-0","14212420-0","Sous-sol"
"cpv_14212430-3","14212430-3","Gravillons"
"cpv_14213000-7","14213000-7","Macadam, tarmacadam et sable bitumineux"
"cpv_14213100-8","14213100-8","Macadam"
"cpv_14213200-9","14213200-9","Tarmacadam"
"cpv_14213300-0","14213300-0","Sable bitumineux"
"cpv_14220000-9","14220000-9","Argile et kaolin"
"cpv_14221000-6","14221000-6","Argile"
"cpv_14222000-3","14222000-3","Kaolin"
"cpv_14300000-4","14300000-4","Produits inorganiques chimiques et engrais minéraux"
"cpv_14310000-7","14310000-7","Engrais minéraux"
"cpv_14311000-4","14311000-4","Calcium naturel, phosphate aluminocalcique et sels de potassium naturel brut"
"cpv_14311100-5","14311100-5","Calcium naturel"
"cpv_14311200-6","14311200-6","Phosphates aluminocalciques"
"cpv_14311300-7","14311300-7","Sels de potassium naturel brut"
"cpv_14312000-1","14312000-1","Pyrites de fer"
"cpv_14312100-2","14312100-2","Pyrites de fer non grillées"
"cpv_14320000-0","14320000-0","Produits inorganiques chimiques"
"cpv_14400000-5","14400000-5","Sel et chlorure de sodium pur"
"cpv_14410000-8","14410000-8","Sel gemme"
"cpv_14420000-1","14420000-1","Sel marin"
"cpv_14430000-4","14430000-4","Sel concentré par évaporation et chlorure de sodium pur"
"cpv_14450000-0","14450000-0","Saumure"
"cpv_14500000-6","14500000-6","Produits connexes d'exploitation de mines et de carrières"
"cpv_14520000-2","14520000-2","Pierres précieuses et semi-précieuses, pierre ponce, émeri, abrasifs naturels, autres minéraux et métaux précieux"
"cpv_14521000-9","14521000-9","Pierres précieuses et semi-précieuses"
"cpv_14521100-0","14521100-0","Pierres précieuses"
"cpv_14521140-2","14521140-2","Poussière ou poudre de pierres précieuses"
"cpv_14521200-1","14521200-1","Pierres semi-précieuses"
"cpv_14521210-4","14521210-4","Poussière ou poudre de pierres semi-précieuses"
"cpv_14522000-6","14522000-6","Diamants industriels, pierre ponce, émeri et autres abrasifs naturels"
"cpv_14522100-7","14522100-7","Pierre ponce"
"cpv_14522200-8","14522200-8","Diamants industriels"
"cpv_14522300-9","14522300-9","Émeri"
"cpv_14522400-0","14522400-0","Abrasifs naturels"
"cpv_14523000-3","14523000-3","Minéraux, métaux précieux connexes et produits associés"
"cpv_14523100-4","14523100-4","Minéraux"
"cpv_14523200-5","14523200-5","Or"
"cpv_14523300-6","14523300-6","Argent"
"cpv_14523400-7","14523400-7","Platine"
"cpv_14600000-7","14600000-7","Minerais de métaux et alliages"
"cpv_14610000-0","14610000-0","Minerais de métaux"
"cpv_14611000-7","14611000-7","Minerais de fer"
"cpv_14612000-4","14612000-4","Minerais de métaux non ferreux"
"cpv_14612100-5","14612100-5","Minerais de cuivre"
"cpv_14612200-6","14612200-6","Minerais de nickel"
"cpv_14612300-7","14612300-7","Minerais d'aluminium"
"cpv_14612400-8","14612400-8","Minerais de métaux précieux"
"cpv_14612500-9","14612500-9","Minerais de plomb"
"cpv_14612600-0","14612600-0","Minerais de zinc"
"cpv_14612700-1","14612700-1","Minerais d'étain"
"cpv_14613000-1","14613000-1","Minerais d'uranium et de thorium"
"cpv_14613100-2","14613100-2","Minerais d'uranium"
"cpv_14613200-3","14613200-3","Minerais de thorium"
"cpv_14614000-8","14614000-8","Minerais divers"
"cpv_14620000-3","14620000-3","Alliages"
"cpv_14621000-0","14621000-0","Ferroalliages"
"cpv_14621100-1","14621100-1","Ferroalliages hors CECA"
"cpv_14621110-4","14621110-4","Ferromanganèse"
"cpv_14621120-7","14621120-7","Ferrochrome"
"cpv_14621130-0","14621130-0","Ferronickel"
"cpv_14622000-7","14622000-7","Acier"
"cpv_14630000-6","14630000-6","Scories, laitier, déchets et débris ferreux"
"cpv_14700000-8","14700000-8","Métaux de base"
"cpv_14710000-1","14710000-1","Fer, plomb, zinc, étain et cuivre"
"cpv_14711000-8","14711000-8","Fer"
"cpv_14711100-9","14711100-9","Fonte brute"
"cpv_14712000-5","14712000-5","Plomb"
"cpv_14713000-2","14713000-2","Zinc"
"cpv_14714000-9","14714000-9","Étain"
"cpv_14715000-6","14715000-6","Cuivre"
"cpv_14720000-4","14720000-4","Aluminium, nickel, scandium, titane et vanadium"
"cpv_14721000-1","14721000-1","Aluminium"
"cpv_14721100-2","14721100-2","Oxyde d'aluminium"
"cpv_14722000-8","14722000-8","Nickel"
"cpv_14723000-5","14723000-5","Scandium"
"cpv_14724000-2","14724000-2","Titane"
"cpv_14725000-9","14725000-9","Vanadium"
"cpv_14730000-7","14730000-7","Chrome, manganèse, cobalt, yttrium et zirconium"
"cpv_14731000-4","14731000-4","Chrome"
"cpv_14732000-1","14732000-1","Manganèse"
"cpv_14733000-8","14733000-8","Cobalt"
"cpv_14734000-5","14734000-5","Yttrium"
"cpv_14735000-2","14735000-2","Zirconium"
"cpv_14740000-0","14740000-0","Molybdène, technétium, ruthénium et rhodium"
"cpv_14741000-7","14741000-7","Molybdène"
"cpv_14742000-4","14742000-4","Technétium"
"cpv_14743000-1","14743000-1","Ruthénium"
"cpv_14744000-8","14744000-8","Rhodium"
"cpv_14750000-3","14750000-3","Cadmium, lutétium, hafnium, tantale et tungstène"
"cpv_14751000-0","14751000-0","Cadmium"
"cpv_14752000-7","14752000-7","Lutétium"
"cpv_14753000-4","14753000-4","Hafnium"
"cpv_14754000-1","14754000-1","Tantale"
"cpv_14755000-8","14755000-8","Tungstène"
"cpv_14760000-6","14760000-6","Iridium, gallium, indium, thallium et barium"
"cpv_14761000-3","14761000-3","Iridium"
"cpv_14762000-0","14762000-0","Gallium"
"cpv_14763000-7","14763000-7","Indium"
"cpv_14764000-4","14764000-4","Thallium"
"cpv_14765000-1","14765000-1","Barium"
"cpv_14770000-9","14770000-9","Césium, strontium, rubidium et calcium"
"cpv_14771000-6","14771000-6","Césium"
"cpv_14772000-3","14772000-3","Strontium"
"cpv_14773000-0","14773000-0","Rubidium"
"cpv_14774000-7","14774000-7","Calcium"
"cpv_14780000-2","14780000-2","Potassium, magnésium, sodium et lithium"
"cpv_14781000-9","14781000-9","Potassium"
"cpv_14782000-6","14782000-6","Magnésium"
"cpv_14783000-3","14783000-3","Sodium"
"cpv_14784000-0","14784000-0","Lithium"
"cpv_14790000-5","14790000-5","Niobium, osmium, rhénium et palladium"
"cpv_14791000-2","14791000-2","Niobium"
"cpv_14792000-9","14792000-9","Osmium"
"cpv_14793000-6","14793000-6","Rhénium"
"cpv_14794000-3","14794000-3","Palladium"
"cpv_14800000-9","14800000-9","Produits minéraux non métalliques divers"
"cpv_14810000-2","14810000-2","Produits abrasifs"
"cpv_14811000-9","14811000-9","Pierres à meuler, pierres à broyer et meules"
"cpv_14811100-0","14811100-0","Pierres à meuler"
"cpv_14811200-1","14811200-1","Pierres à broyer"
"cpv_14811300-2","14811300-2","Meules"
"cpv_14812000-6","14812000-6","Poudre ou grains abrasifs"
"cpv_14813000-3","14813000-3","Corindon artificiel"
"cpv_14814000-0","14814000-0","Graphite artificiel"
"cpv_14820000-5","14820000-5","Verre"
"cpv_14830000-8","14830000-8","Fibres de verre"
"cpv_14900000-0","14900000-0","Matières premières de récupération"
"cpv_14910000-3","14910000-3","Matières premières métalliques de récupération"
"cpv_14920000-6","14920000-6","Matières premières non métalliques de récupération"
"cpv_14930000-9","14930000-9","Cendres et résidus contenant des métaux"
"cpv_15000000-8","15000000-8","Produits alimentaires, boissons, tabac et produits connexes"
"cpv_15100000-9","15100000-9","Produits de l'élevage, viande et produits à base de viande"
"cpv_15110000-2","15110000-2","Viande"
"cpv_15111000-9","15111000-9","Viande bovine"
"cpv_15111100-0","15111100-0","Viande de bœuf"
"cpv_15111200-1","15111200-1","Viande de veau"
"cpv_15112000-6","15112000-6","Volaille"
"cpv_15112100-7","15112100-7","Volaille fraîche"
"cpv_15112110-0","15112110-0","Oies"
"cpv_15112120-3","15112120-3","Dindes"
"cpv_15112130-6","15112130-6","Poulets"
"cpv_15112140-9","15112140-9","Canards"
"cpv_15112300-9","15112300-9","Foies de volaille"
"cpv_15112310-2","15112310-2","Foie gras"
"cpv_15113000-3","15113000-3","Viande de porc"
"cpv_15114000-0","15114000-0","Abats"
"cpv_15115000-7","15115000-7","Viande d'agneau et de mouton"
"cpv_15115100-8","15115100-8","Viande d'agneau"
"cpv_15115200-9","15115200-9","Viande de mouton"
"cpv_15117000-1","15117000-1","Viande de chèvre"
"cpv_15118000-8","15118000-8","Viande de cheval, d'âne, de mule ou de bardot"
"cpv_15118100-9","15118100-9","Viande de cheval"
"cpv_15118900-7","15118900-7","Viande d'âne, de mule ou de bardot"
"cpv_15119000-5","15119000-5","Viandes diverses"
"cpv_15119100-6","15119100-6","Viande de lapin"
"cpv_15119200-7","15119200-7","Viande de lièvre"
"cpv_15119300-8","15119300-8","Gibier"
"cpv_15119400-9","15119400-9","Cuisses de grenouilles"
"cpv_15119500-0","15119500-0","Pigeons"
"cpv_15119600-1","15119600-1","Chair de poisson"
"cpv_15130000-8","15130000-8","Produits à base de viande"
"cpv_15131000-5","15131000-5","Conserves et préparations à base de viande"
"cpv_15131100-6","15131100-6","Produits à base de chair à saucisse"
"cpv_15131110-9","15131110-9","Chair à saucisse"
"cpv_15131120-2","15131120-2","Charcuterie"
